name;url;category;city;country;type
9troisquarts;http://www.9troisquarts.com/;agency;Roubaix;France;
Adomik;http://www.adomik.com/;product;Paris;France;
af83;http://af83.com/;agency;Paris;France;
Agence Cosmic;http://agencecosmic.com/;agency;Paris;France;
Agorize;http://www.agorize.com/;product;Paris;France;
Aircall;https://aircall.io/;product;Paris;France;
Algolia;https://www.algolia.com/;product;Paris;France;
Alpine Lab;http://www.alpine-lab.com/;agency;Lyon;France;
Appaloosa Store;https://www.appaloosa-store.com/;product;Paris;France;
Applidium;http://applidium.com/;agency;Paris, Lyon;France;
Augment;http://www.augment.com/;product;Paris;France;
Birdly;https://www.getbirdly.com/;product;Paris;France;
Boaterfly;http://www.boaterfly.com/;product;Paris;France;
Brand and Celebrities;http://www.brandandcelebrities.com;product;Paris;France;
Capsens;http://www.capsens.eu;product;Paris;France;
Captain Contrat;https://www.captaincontrat.com/;product;Paris;France;
CareerBuilder;http://www.careerbuilder.com;product;Paris;France;
Clic2Buy;http://www.clic2buy.com/;product;Lille;France;
Codeur;https://www.codeur.com;product;Remote;France;
Colisweb;http://www.colisweb.com/;product;Lille;France;
CoursAvenue.com;https://www.coursavenue.com/;product;Paris;France;
Craftsmen;http://craftsmen.io/;agency;Saint-Etienne;France;
Cults.;https://cults3d.com/;product;Paris;France;
Deligreens;https://www.deligreens.com/;product;Lyon;France;
Dernier Cri;http://derniercri.io;agency;Lille, Paris;France;
Dimelo;http://www.dimelo.com/;product;Lille;France;
Dimelo;http://www.dimelo.com/;product;Paris;France;
Dividom;https://www.dividom.com/;product;Lille;France;
Doctolib;https://www.doctolib.fr/;product;Paris;France;
Doumit;http://www.doum.it;agency;Lille;France;
Drivy;https://www.drivy.com/;product;Paris;France;
EcoTa.co;https://ecota.co;product;Lille;France;
Effilab;http://www.effilab.com/;product;Boulogne-Billancourt;France;
Ekimetrics;https://www.ekimetrics.com/;product;Paris;France;
Ekylibre;http://ekylibre.com/;product;Pessac;France;
Email Hunter;https://emailhunter.co/;product;Lyon;France;
Event Corner;http://www.event-corner.com/;product;Paris;France;
Famest;http://www.famest.co/;product;Paris;France;
Faveod;http://www.faveod.com/;product;Paris;France;
FidMarques;https://www.fidmarques.com/;product;Paris;France;
Fidzup;http://www.fidzup.com/;product;Clichy;France;
Fizzer;https://www.fizzer.fr/;product;Dives-sur-Mer;France;
Frizbiz;https://www.frizbiz.com/;product;Lille;France;
Hi Duty Free;http://hidutyfree.com/;product;Lille;France;
Honestica;http://www.honestica.com/;product;Paris;France;
Hospimedia;http://www.hospimedia.fr/;product;Lille;France;
Hostnfly;http://hostnfly.com;product;Paris;France;
iMenlo;http://www.imenlo.com;agency;Paris;France;
Impala Webstudio;http://www.impala-webstudio.fr/;agency;Lille;France;
Inch;https://inch.fr/;product;Saint-Ouen;France;
Je R̻ve d'une Maison;http://www.jerevedunemaison.com/;product;Paris;France;
JobTeaser.com;http://www.jobteaser.com/fr;product;Paris;France;
Jumboweb;http://www.jumboweb.fr/;agency;Paris;France;
Key-Live;http://www.keley-live.com/;agency;Paris;France;
Keycoopt;https://www.keycoopt.com/;product;Lille;France;
Kiffetescourses;http://www.kiffetescourses.com/;product;Paris;France;
KissKissBankBank;http://www.kisskissbankbank.com/;product;Paris;France;
Krawd;http://krawd.com/;product;Paris;France;
Labacar;http://labacar.com/;agency;Joinville-le-Pont;France;
Le Wagon;http://www.lewagon.com/;bootcamp;Paris, Lille, Bordeaux, Nantes, Marseille, Lyon;France;
LeCollectionist;https://www.lecollectionist.com/;product;Paris;France;
Leikir web;http://web.leikir.io/;agency;Paris;France;
Level Up Solutions;http://levups.com/;editor;Aubervilliers;France;
Libertrip;https://www.libertrip.com/;product;Lille;France;
LiveMentor;https://www.livementor.com/;product;Paris;France;
Locale;https://www.localeapp.com/;product;Lyon;France;
Localers;https://www.localers.com/;product;Paris;France;
LoGeek;http://www.logeek.fr;agency + product;Champdolent;France;
LunaWeb;http://www.lunaweb.fr/;agency;Rennes;France;
MediaTech Solutions;http://www.mediatech-solutions.com/;product;Paris;France;
misterbnb;https://www.misterbnb.com/;product;Paris;France;
moduloTech;http://www.modulotech.fr/;product;Paris;France;
MonsieurDrive.com;http://www.monsieurdrive.com/;product;Boulogne Billancourt;France;
Myeggbox;https://www.myeggbox.com/;product;Lille;France;
Novelys;http://www.novelys.com/;agency;Strasbourg;France;
Numa;https://numa.co/;incubator;Paris;France;
One Third;https://www.onethird.com/;product;Paris;France;
OnePark;https://www.onepark.fr/;product;Paris;France;
Ozact;http://www.ozact.net/;product;Paris;France;
Pandacraft;https://www.pandacraft.fr/;product;Paris;France;
PayCar;https://www.paycar.fr/;product;Paris;France;
Per Angusta;http://www.per-angusta.com/;product;Lyon;France;
Permigo;https://www.permigo.com/;product;Lyon;France;
Prium Solutions;http://prium-solutions.com/;agency;Paris;France;
Shopmium;https://www.shopmium.com/;product;Paris;France;
Silicon Salad;http://www.siliconsalad.com;agency;Lille;France;
Simplon.co;http://simplon.co/;bootcamp;Montreuil;France;
Skello;https://www.skello.io/;product;Paris;France;
Snapshift;https://snapshift.co/;product;Paris;France;
SociAddict;http://www.sociaddict.com/;agency;Paris;France;
Speaken;https://speaken.com/;product;Paris;France;
Sqreen;https://www.sqreen.io/;product;Paris;France;
Stuart;https://stuart.com/;product;Paris, Lyon;France;
Studio HB;http://www.studio-hb.com/;agency;Lyon;France;
Studio Melipone;http://www.studiomelipone.eu/;agency;Paris;France;
Synbioz;https://www.synbioz.com/;agency;Lille, Nantes, Paris;France;
talent.io;https://www.talent.io;product;Paris, Berlin, London;France;
Teezily;http://teezily.com/;product;Paris;France;
The Social Client;http://thesocialclient.com/;agency;Paris;France;
Tilkee;http://www.tilkee.fr;product;Lyon;France;
Tinci;http://www.tinci.fr/;agency;Paris;France;
Trainline;https://www.trainline.eu/;product;Paris;France;
Tymate;http://tymate.com/;agency;Lille;France;
Vodeclic;http://vodeclic.com/;product;Levallois;France;
Wayz-Up;https://www.wayz-up.com/;product;Paris;France;
Welcome to the Jungle;https://www.welcometothejungle.co/;product;Paris;France;
Weroom;https://www.weroom.com/;product;Paris;France;
WeSave;https://www.wesave.fr;product;Paris;France;
What A Nice Place;http://whataniceplace.com/;product;Lille;France;
Wizville;https://wizville.fr/fr/;product;Paris;France;
Wizypay;http://wizypay.com/;product;Paris;France;
Yespark;https://www.yespark.fr/;product;Paris;France;
Youboox;https://www.youboox.fr/;product;Paris;France;